g list:, 0.25, 0.75, 1.0
Date, Infection, Prediction, Retrodiction
0, 1.000, 1.000, 1.000
1, 0.250, 0.250, -0.000
2, 0.812, 0.813, -0.000
3, 1.391, 1.391, 1.000
4, 1.207, 1.207, -0.750
5, 2.157, 2.157, 0.312
6, 2.835, 2.835, 0.953
7, 3.534, 3.534, -1.543
8, 5.167, 5.167, 1.231
9, 6.777, 6.777, 0.415
10, 9.103, 9.103, -2.162
11, 12.526, 12.526, 2.749
12, 16.736, 16.736, -1.106
13, 22.682, 22.682, -2.020
14, 30.749, 30.749, 4.541
15, 41.435, 41.435, -4.007
16, 56.102, 56.102, -0.150
17, 75.850, 75.850, 5.655
18, 102.474, 102.474, -8.211
19, 138.608, 138.608, 4.594
20, 187.358, 187.358, 4.262
21, 253.269, 253.269, -12.556
22, 342.444, 342.444, 12.945
23, 462.920, 462.920, -2.308
24, 625.832, 625.832, -14.061
25, 846.092, 846.092, 24.068
26, 1143.817, 1143.817, -16.844
27, 1546.355, 1546.355, -7.446
28, 2090.544, 2090.544, 33.864
29, 2826.220, 2826.220, -40.380
30, 3820.818, 3820.818, 14.374
31, 5165.413, 5165.413, 33.179
32, 6983.187, 6983.187, -68.857
33, 9440.675, 9440.675, 57.722
34, 12762.972, 12762.972, 7.101
35, 17254.435, 17254.435, -88.614
36, 23326.512, 23326.512, 122.407
37, 31535.426, 31535.426, -62.550
38, 42633.176, 42633.176, -72.303
39, 57636.376, 57636.376, 192.272
40, 77919.403, 77919.403, -188.679
41, 105340.309, 105340.309, 21.138
42, 142411.005, 142411.005, 223.588
43, 192527.386, 192527.386, -361.654
44, 260280.410, 260280.410, 236.482
45, 351876.647, 351876.647, 136.641
46, 475706.855, 475706.855, -523.255
47, 643114.609, 643114.609, 594.763
48, 869435.440, 869435.440, -178.618
49, 1175401.671, 1175401.671, -537.983
